,Primary School,Primary Distance,Primary Latitude,Primary Longitude
ANG MO KIO AVE 10 BLK 466,DA QIAO PRIMARY SCHOOL,701.1115238,1.371901,103.858833
ANG MO KIO AVE 10 BLK 471,TOWNSVILLE PRIMARY SCHOOL,502.247474,1.3600534,103.8537829
ANG MO KIO AVE 10 BLK 474,TOWNSVILLE PRIMARY SCHOOL,559.7863988,1.3600534,103.8537829
ANG MO KIO AVE 3 BLK 570,DA QIAO PRIMARY SCHOOL,400.2434184,1.371901,103.858833
ANG MO KIO AVE 3 BLK 586,JING SHAN PRIMARY SCHOOL,300.5328338,1.3723262,103.8517128
ANG MO KIO AVE 10 BLK 455,DA QIAO PRIMARY SCHOOL,402.924035,1.371901,103.858833
ANG MO KIO AVE 10 BLK 465,DA QIAO PRIMARY SCHOOL,659.3205709,1.371901,103.858833
ANG MO KIO AVE 10 BLK 463,DA QIAO PRIMARY SCHOOL,574.8691918,1.371901,103.858833
ANG MO KIO AVE 3 BLK 564,DA QIAO PRIMARY SCHOOL,244.4292688,1.371901,103.858833
ANG MO KIO AVE 10 BLK 560,DA QIAO PRIMARY SCHOOL,128.9423534,1.371901,103.858833
ANG MO KIO AVE 10 BLK 558,DA QIAO PRIMARY SCHOOL,83.42943068,1.371901,103.858833
ANG MO KIO AVE 10 BLK 559,DA QIAO PRIMARY SCHOOL,142.4681961,1.371901,103.858833
ANG MO KIO AVE 5 BLK 538,JING SHAN PRIMARY SCHOOL,414.3095954,1.3723262,103.8517128
ANG MO KIO AVE 10 BLK 534,JING SHAN PRIMARY SCHOOL,331.7515491,1.3723262,103.8517128
ANG MO KIO AVE 5 BLK 601,CHIJ ST. NICHOLAS GIRLS' SCHOOL,735.5239038,1.3743731,103.8342158
ANG MO KIO AVE 5 BLK 603,CHIJ ST. NICHOLAS GIRLS' SCHOOL,664.8915912,1.3743731,103.8342158
ANG MO KIO AVE 5 BLK 604,CHIJ ST. NICHOLAS GIRLS' SCHOOL,668.1000071,1.3743731,103.8342158
ANG MO KIO AVE 5 BLK 608,CHIJ ST. NICHOLAS GIRLS' SCHOOL,569.8167602,1.3743731,103.8342158
ANG MO KIO AVE 5 BLK 611,CHIJ ST. NICHOLAS GIRLS' SCHOOL,541.7353948,1.3743731,103.8342158
ANG MO KIO AVE 8 BLK 505,JING SHAN PRIMARY SCHOOL,329.3212954,1.3723262,103.8517128
ANG MO KIO AVE 5 BLK 503,JING SHAN PRIMARY SCHOOL,466.267158,1.3723262,103.8517128
ANG MO KIO AVE 4 BLK 610,MAYFLOWER PRIMARY SCHOOL,567.3144489,1.376395,103.843181
ANG MO KIO AVE 4 BLK 607,ANDERSON PRIMARY SCHOOL,552.1042281,1.384692,103.841225
ANG MO KIO AVE 5 BLK 524,JING SHAN PRIMARY SCHOOL,198.5859289,1.3723262,103.8517128
ANG MO KIO AVE 8 BLK 513,JING SHAN PRIMARY SCHOOL,174.2938143,1.3723262,103.8517128
ANG MO KIO AVE 5 BLK 643,MAYFLOWER PRIMARY SCHOOL,321.0999309,1.376395,103.843181
ANG MO KIO AVE 10 BLK 542,DA QIAO PRIMARY SCHOOL,456.8409588,1.371901,103.858833
ANG MO KIO AVE 10 BLK 548,DA QIAO PRIMARY SCHOOL,221.1171601,1.371901,103.858833
ANG MO KIO AVE 10 BLK 550,DA QIAO PRIMARY SCHOOL,200.6959889,1.371901,103.858833
ANG MO KIO AVE 6 BLK 639,MAYFLOWER PRIMARY SCHOOL,397.2627289,1.376395,103.843181
ANG MO KIO AVE 6 BLK 637,MAYFLOWER PRIMARY SCHOOL,447.2328004,1.376395,103.843181
ANG MO KIO AVE 1 BLK 330,TECK GHEE PRIMARY SCHOOL,343.9784864,1.365396,103.8505239
