,Primary School,Primary Distance,Primary Latitude,Primary Longitude
BT BATOK EAST AVE 4 BLK 254,KEMING PRIMARY SCHOOL,516.197982,1.3454147,103.7562455
BT BATOK EAST AVE 4 BLK 257,LIANHUA PRIMARY SCHOOL,473.9295839,1.3536064,103.7544322
BT BATOK ST 21 BLK 218,BUKIT VIEW PRIMARY SCHOOL,175.1098475,1.3459081,103.7534607
BT BATOK CTRL BLK 125,PRINCESS ELIZABETH PRIMARY SCHOOL,707.4943977,1.349245,103.7409454
BT BATOK CTRL BLK 122,PRINCESS ELIZABETH PRIMARY SCHOOL,744.1765861,1.349245,103.7409454
TAMAN HO SWEE BLK 31,ZHANGDE PRIMARY SCHOOL,756.8298816,1.284578,103.826193
DEPOT RD BLK 105,BLANGAH RISE PRIMARY SCHOOL,620.3593693,1.2761957,103.8086755
DEPOT RD BLK 107,BLANGAH RISE PRIMARY SCHOOL,616.3738153,1.2761957,103.8086755
TELOK BLANGAH RISE BLK 43,RADIN MAS PRIMARY SCHOOL,520.3769265,1.2750693,103.8238799
TELOK BLANGAH DR BLK 65,BLANGAH RISE PRIMARY SCHOOL,298.3261746,1.2761957,103.8086755
EVERTON PK BLK 6,CANTONMENT PRIMARY SCHOOL,162.8915339,1.2759498,103.8400024
BT PURMEI RD BLK 101,RADIN MAS PRIMARY SCHOOL,443.9884498,1.2750693,103.8238799
REDHILL CL BLK 1,GAN ENG SENG PRIMARY SCHOOL,324.9413106,1.2857625,103.8152625
TAMAN HO SWEE BLK 12,RIVER VALLEY PRIMARY SCHOOL,783.113524,1.2938838,103.8363894
JLN BT HO SWEE BLK 8,ZHANGDE PRIMARY SCHOOL,740.815272,1.284578,103.826193
TELOK BLANGAH HTS BLK 68,BLANGAH RISE PRIMARY SCHOOL,173.6693068,1.2761957,103.8086755
BT PURMEI RD BLK 112,RADIN MAS PRIMARY SCHOOL,235.4716569,1.2750693,103.8238799
HENDERSON CRES BLK 106,ALEXANDRA PRIMARY SCHOOL,233.477463,1.2912857,103.8235733
SPOTTISWOODE PK RD BLK 104,CANTONMENT PRIMARY SCHOOL,590.8289088,1.2759498,103.8400024
LENGKOK BAHRU BLK 47,GAN ENG SENG PRIMARY SCHOOL,416.0568742,1.2857625,103.8152625
ZION RD BLK 87,RIVER VALLEY PRIMARY SCHOOL,557.2857146,1.2938838,103.8363894
TELOK BLANGAH CRES BLK 25,RADIN MAS PRIMARY SCHOOL,537.6916967,1.2750693,103.8238799
QUEEN'S RD BLK 3,NANYANG PRIMARY SCHOOL,479.630152,1.3210855,103.8077117
NEW MKT RD BLK 32,CANTONMENT PRIMARY SCHOOL,1053.433381,1.2759498,103.8400024
TG PAGAR PLAZA BLK 2,CANTONMENT PRIMARY SCHOOL,293.1843967,1.2759498,103.8400024
UPP CROSS ST BLK 536,CANTONMENT PRIMARY SCHOOL,1178.760432,1.2759498,103.8400024
UPP CROSS ST BLK 532,CANTONMENT PRIMARY SCHOOL,1148.075264,1.2759498,103.8400024
KELANTAN RD BLK 30,STAMFORD PRIMARY SCHOOL,197.0302695,1.3039292,103.8572139
TG PAGAR PLAZA BLK 7,CANTONMENT PRIMARY SCHOOL,358.9455265,1.2759498,103.8400024
ROWELL RD BLK 641,STAMFORD PRIMARY SCHOOL,540.9949354,1.3039292,103.8572139
TECK WHYE LANE BLK 19,TECK WHYE PRIMARY SCHOOL,493.8162455,1.3837636,103.7537174
TECK WHYE AVE BLK 6,TECK WHYE PRIMARY SCHOOL,232.4185968,1.3837636,103.7537174
TECK WHYE AVE BLK 2,TECK WHYE PRIMARY SCHOOL,303.451591,1.3837636,103.7537174
TECK WHYE AVE BLK 8,TECK WHYE PRIMARY SCHOOL,359.9447327,1.3837636,103.7537174
TECK WHYE LANE BLK 14,TECK WHYE PRIMARY SCHOOL,622.9099022,1.3837636,103.7537174
WEST COAST DR BLK 510,QIFA PRIMARY SCHOOL,480.7779694,1.3128727,103.7568969
CLEMENTI AVE 1 BLK 407,PEI TONG PRIMARY SCHOOL,644.8056981,1.3161197,103.7675906
CLEMENTI AVE 2 BLK 362,PEI TONG PRIMARY SCHOOL,460.5381456,1.3161197,103.7675906
CLEMENTI AVE 1 BLK 409,PEI TONG PRIMARY SCHOOL,521.2104002,1.3161197,103.7675906
CLEMENTI AVE 3 BLK 429,CLEMENTI PRIMARY SCHOOL,298.6934465,1.3155899,103.763047
CLEMENTI AVE 3 BLK 426,CLEMENTI PRIMARY SCHOOL,462.1782849,1.3155899,103.763047
CLEMENTI AVE 2 BLK 330,PEI TONG PRIMARY SCHOOL,270.3188244,1.3161197,103.7675906
CLEMENTI AVE 3 BLK 432,CLEMENTI PRIMARY SCHOOL,173.6166325,1.3155899,103.763047
WEST COAST DR BLK 507,QIFA PRIMARY SCHOOL,434.5832205,1.3128727,103.7568969
CLEMENTI AVE 1 BLK 403,PEI TONG PRIMARY SCHOOL,872.613314,1.3161197,103.7675906
CLEMENTI AVE 1 BLK 402,PEI TONG PRIMARY SCHOOL,933.5061756,1.3161197,103.7675906
CLEMENTI AVE 5 BLK 345,PEI TONG PRIMARY SCHOOL,234.4140051,1.3161197,103.7675906
WEST COAST RD BLK 518,QIFA PRIMARY SCHOOL,565.1645299,1.3128727,103.7568969
CLEMENTI WEST ST 1 BLK 603,PEI TONG PRIMARY SCHOOL,1246.765921,1.3161197,103.7675906
WEST COAST RD BLK 701,QIFA PRIMARY SCHOOL,757.5257589,1.3128727,103.7568969
CLEMENTI AVE 3 BLK 449,CLEMENTI PRIMARY SCHOOL,317.5469667,1.3155899,103.763047
CLEMENTI AVE 5 BLK 379,PEI TONG PRIMARY SCHOOL,203.217793,1.3161197,103.7675906
CLEMENTI WEST ST 1 BLK 611,PEI TONG PRIMARY SCHOOL,1386.241169,1.3161197,103.7675906
CLEMENTI AVE 2 BLK 359,PEI TONG PRIMARY SCHOOL,389.9626318,1.3161197,103.7675906
CLEMENTI AVE 2 BLK 333,PEI TONG PRIMARY SCHOOL,108.5298339,1.3161197,103.7675906
CLEMENTI AVE 4 BLK 308,PEI TONG PRIMARY SCHOOL,554.7053918,1.3161197,103.7675906
CLEMENTI AVE 4 BLK 302,NAN HUA PRIMARY SCHOOL,446.1832716,1.319611,103.7615069
CLEMENTI AVE 5 BLK 347,PEI TONG PRIMARY SCHOOL,355.8276434,1.3161197,103.7675906
CLEMENTI WEST ST 2 BLK 709,QIFA PRIMARY SCHOOL,1014.646053,1.3128727,103.7568969
CLEMENTI WEST ST 2 BLK 716,QIFA PRIMARY SCHOOL,1346.91252,1.3128727,103.7568969
CLEMENTI ST 14 BLK 101,PEI TONG PRIMARY SCHOOL,680.4855993,1.3161197,103.7675906
CLEMENTI ST 13 BLK 118,PEI TONG PRIMARY SCHOOL,1094.06759,1.3161197,103.7675906
CLEMENTI AVE 5 BLK 342,PEI TONG PRIMARY SCHOOL,352.3479118,1.3161197,103.7675906
CLEMENTI AVE 5 BLK 340,PEI TONG PRIMARY SCHOOL,398.4364186,1.3161197,103.7675906
CLEMENTI ST 13 BLK 114,PEI TONG PRIMARY SCHOOL,922.1879935,1.3161197,103.7675906
CLEMENTI AVE 6 BLK 206,NAN HUA PRIMARY SCHOOL,221.0547722,1.319611,103.7615069
ALJUNIED CRES BLK 109,GEYLANG METHODIST SCHOOL (PRIMARY),154.8915276,1.3182152,103.8838417
MACPHERSON LANE BLK 83,CANOSSA CONVENT PRIMARY SCHOOL,689.9214151,1.3265573,103.8818876
BALAM RD BLK 30,CANOSSA CONVENT PRIMARY SCHOOL,674.4394037,1.3265573,103.8818876
SIMS DR BLK 54,GEYLANG METHODIST SCHOOL (PRIMARY),544.5137568,1.3182152,103.8838417
SIMS DR BLK 62,GEYLANG METHODIST SCHOOL (PRIMARY),793.5902509,1.3182152,103.8838417
CIRCUIT RD BLK 69,CANOSSA CONVENT PRIMARY SCHOOL,643.7987209,1.3265573,103.8818876
CIRCUIT RD BLK 45,CANOSSA CONVENT PRIMARY SCHOOL,466.1504003,1.3265573,103.8818876
PAYA LEBAR WAY BLK 91,GEYLANG METHODIST SCHOOL (PRIMARY),590.0337552,1.3182152,103.8838417
BALAM RD BLK 32,CANOSSA CONVENT PRIMARY SCHOOL,640.8850695,1.3265573,103.8818876
HAIG RD BLK 5,HAIG GIRLS' SCHOOL,680.8601291,1.3119421,103.9027084
EUNOS CRES BLK 10,EUNOS PRIMARY SCHOOL,313.5617399,1.3245231,103.9043036
SIMS DR BLK 44,GEYLANG METHODIST SCHOOL (PRIMARY),765.848209,1.3182152,103.8838417
UBI AVE 1 BLK 343,MAHA BODHI SCHOOL,245.4760673,1.3284092,103.9015303
PAYA LEBAR WAY BLK 120,MACPHERSON PRIMARY SCHOOL,378.5993943,1.3247752,103.8816333
SIMS AVE BLK 846,HAIG GIRLS' SCHOOL,640.6044615,1.3119421,103.9027084
HOUGANG AVE 3 BLK 23,HOLY INNOCENTS' PRIMARY SCHOOL,374.4683671,1.366573,103.893711
HOUGANG AVE 1 BLK 123,METHODIST GIRLS' SCHOOL (PRIMARY),337.9505915,1.3504619,103.8852195
HOUGANG AVE 1 BLK 116,METHODIST GIRLS' SCHOOL (PRIMARY),410.9647583,1.3504619,103.8852195
HOUGANG AVE 1 BLK 111,XINGHUA PRIMARY SCHOOL,379.2227867,1.3578717,103.8901506
HOUGANG AVE 5 BLK 301,HOLY INNOCENTS' PRIMARY SCHOOL,137.1108772,1.366573,103.893711
HOUGANG AVE 5 BLK 311,HOLY INNOCENTS' PRIMARY SCHOOL,158.9997203,1.366573,103.893711
HOUGANG AVE 7 BLK 317,HOLY INNOCENTS' PRIMARY SCHOOL,322.7533886,1.366573,103.893711
HOUGANG AVE 5 BLK 307,HOLY INNOCENTS' PRIMARY SCHOOL,159.6407812,1.366573,103.893711
HOUGANG ST 22 BLK 242,XINGHUA PRIMARY SCHOOL,222.6889629,1.3578717,103.8901506
HOUGANG AVE 10 BLK 404,CHIJ OUR LADY OF THE NATIVITY,276.0586889,1.372971,103.898088
HOUGANG AVE 5 BLK 321,HOLY INNOCENTS' PRIMARY SCHOOL,505.1914102,1.366573,103.893711
HOUGANG AVE 1 BLK 232,XINGHUA PRIMARY SCHOOL,194.9399311,1.3578717,103.8901506
HOUGANG AVE 5 BLK 306,HOLY INNOCENTS' PRIMARY SCHOOL,202.0136735,1.366573,103.893711
HOUGANG AVE 7 BLK 325,HOLY INNOCENTS' PRIMARY SCHOOL,559.7439552,1.366573,103.893711
HOUGANG AVE 1 BLK 103,XINGHUA PRIMARY SCHOOL,280.832777,1.3578717,103.8901506
LOR AH SOO BLK 139,METHODIST GIRLS' SCHOOL (PRIMARY),226.3164764,1.3504619,103.8852195
LOR AH SOO BLK 145,METHODIST GIRLS' SCHOOL (PRIMARY),247.0670443,1.3504619,103.8852195
HOUGANG AVE 7 BLK 357,CHIJ OUR LADY OF THE NATIVITY,155.9950426,1.372971,103.898088
JURONG EAST ST 21 BLK 229,YUHUA PRIMARY SCHOOL,352.8600997,1.3429774,103.7409109
JURONG EAST ST 13 BLK 115,FUHUA PRIMARY SCHOOL,381.2881108,1.3365456,103.7364909
JURONG EAST ST 32 BLK 304,JURONG PRIMARY SCHOOL,429.9277433,1.348343,103.732375
JURONG EAST ST 24 BLK 248,YUHUA PRIMARY SCHOOL,121.7005052,1.3429774,103.7409109
JURONG EAST ST 24 BLK 241,YUHUA PRIMARY SCHOOL,291.5080595,1.3429774,103.7409109
TEBAN GDNS RD BLK 14,FUHUA PRIMARY SCHOOL,1703.046114,1.3365456,103.7364909
PANDAN GDNS BLK 410,QIFA PRIMARY SCHOOL,1187.99497,1.3128727,103.7568969
JURONG EAST ST 31 BLK 318,JURONG PRIMARY SCHOOL,225.541577,1.348343,103.732375
JURONG EAST ST 21 BLK 225A,YUHUA PRIMARY SCHOOL,504.231781,1.3429774,103.7409109
JURONG EAST ST 21 BLK 207,YUHUA PRIMARY SCHOOL,583.1604647,1.3429774,103.7409109
TEBAN GDNS RD BLK 31,FUHUA PRIMARY SCHOOL,1821.844929,1.3365456,103.7364909
JURONG EAST ST 31 BLK 317,JURONG PRIMARY SCHOOL,215.4015622,1.348343,103.732375
JURONG EAST ST 21 BLK 212,YUHUA PRIMARY SCHOOL,434.8404207,1.3429774,103.7409109
PANDAN GDNS BLK 413,QIFA PRIMARY SCHOOL,1236.874859,1.3128727,103.7568969
JURONG EAST ST 32 BLK 312,JURONG PRIMARY SCHOOL,154.1809075,1.348343,103.732375
TEBAN GDNS RD BLK 46,FUHUA PRIMARY SCHOOL,1870.570061,1.3365456,103.7364909
JURONG WEST ST 52 BLK 528,RULANG PRIMARY SCHOOL,265.3434147,1.34694,103.71896
YUNG PING RD BLK 5,LAKESIDE PRIMARY SCHOOL,1020.060015,1.3384626,103.718147
YUNG PING RD BLK 6,LAKESIDE PRIMARY SCHOOL,1002.10371,1.3384626,103.718147
TAO CHING RD BLK 113,LAKESIDE PRIMARY SCHOOL,899.4978328,1.3384626,103.718147
HU CHING RD BLK 142,LAKESIDE PRIMARY SCHOOL,1186.229695,1.3384626,103.718147
BOON LAY DR BLK 171,CORPORATION PRIMARY SCHOOL,450.19035,1.3508179,103.7077208
BOON LAY PL BLK 207,BOON LAY GARDEN PRIMARY SCHOOL,433.6888018,1.34287,103.712983
JURONG WEST ST 41 BLK 480,SHUQUN PRIMARY SCHOOL,325.0601554,1.3471816,103.7215376
JURONG WEST AVE 1 BLK 425,SHUQUN PRIMARY SCHOOL,546.0441147,1.3471816,103.7215376
JURONG WEST ST 41 BLK 462,SHUQUN PRIMARY SCHOOL,405.7623704,1.3471816,103.7215376
JURONG WEST ST 41 BLK 475,SHUQUN PRIMARY SCHOOL,395.3269772,1.3471816,103.7215376
JURONG WEST ST 41 BLK 474,SHUQUN PRIMARY SCHOOL,299.0869901,1.3471816,103.7215376
JURONG WEST ST 52 BLK 514,SHUQUN PRIMARY SCHOOL,121.9510367,1.3471816,103.7215376
JURONG WEST AVE 1 BLK 486,SHUQUN PRIMARY SCHOOL,579.6183306,1.3471816,103.7215376
JURONG WEST AVE 1 BLK 437,SHUQUN PRIMARY SCHOOL,579.1739861,1.3471816,103.7215376
JURONG WEST ST 42 BLK 451,RULANG PRIMARY SCHOOL,551.9656162,1.34694,103.71896
JURONG WEST ST 42 BLK 449,RULANG PRIMARY SCHOOL,605.6290583,1.34694,103.71896
JURONG WEST ST 42 BLK 403,SHUQUN PRIMARY SCHOOL,739.0164017,1.3471816,103.7215376
JURONG WEST AVE 1 BLK 430,SHUQUN PRIMARY SCHOOL,702.6019743,1.3471816,103.7215376
JURONG WEST ST 42 BLK 419,JURONG PRIMARY SCHOOL,648.8563953,1.348343,103.732375
JURONG WEST ST 42 BLK 420,JURONG PRIMARY SCHOOL,632.8571654,1.348343,103.732375
BOON LAY DR BLK 199,BOON LAY GARDEN PRIMARY SCHOOL,214.5202315,1.34287,103.712983
JURONG WEST AVE 1 BLK 426,SHUQUN PRIMARY SCHOOL,609.5311498,1.3471816,103.7215376
JURONG WEST ST 42 BLK 405,SHUQUN PRIMARY SCHOOL,807.2755549,1.3471816,103.7215376
JURONG WEST ST 41 BLK 470,SHUQUN PRIMARY SCHOOL,123.2546875,1.3471816,103.7215376
JLN BATU BLK 8,GEYLANG METHODIST SCHOOL (PRIMARY),1731.874435,1.3182152,103.8838417
GLOUCESTER RD BLK 10,FARRER PARK PRIMARY SCHOOL,238.936522,1.3122926,103.8508244
BENDEMEER RD BLK 43,BENDEMEER PRIMARY SCHOOL,150.2494473,1.3221999,103.8650726
JLN BAHAGIA BLK 35,HONG WEN SCHOOL,563.9686137,1.3217339,103.8576625
UPP BOON KENG RD BLK 6,BENDEMEER PRIMARY SCHOOL,1108.709085,1.3221999,103.8650726
KALLANG BAHRU BLK 64,BENDEMEER PRIMARY SCHOOL,391.6124572,1.3221999,103.8650726
CAMBRIDGE RD BLK 41,FARRER PARK PRIMARY SCHOOL,436.6057879,1.3122926,103.8508244
TOWNER RD BLK 105,HONG WEN SCHOOL,401.2751168,1.3217339,103.8576625
BOON KENG RD BLK 22,HONG WEN SCHOOL,579.974935,1.3217339,103.8576625
WHAMPOA STH BLK 49,BENDEMEER PRIMARY SCHOOL,290.0548397,1.3221999,103.8650726
DORSET RD BLK 48,FARRER PARK PRIMARY SCHOOL,226.2940714,1.3122926,103.8508244
AH HOOD RD BLK 101,BALESTIER HILL PRIMARY SCHOOL,211.1918864,1.3256088,103.8444126
KENT RD BLK 54,FARRER PARK PRIMARY SCHOOL,577.7847687,1.3122926,103.8508244
TOWNER RD BLK 103,BENDEMEER PRIMARY SCHOOL,422.50569,1.3221999,103.8650726
ST. GEORGE'S RD BLK 21,BENDEMEER PRIMARY SCHOOL,427.7291897,1.3221999,103.8650726
ST. GEORGE'S RD BLK 22,BENDEMEER PRIMARY SCHOOL,444.6605215,1.3221999,103.8650726
JLN RAJAH BLK 105,PEI CHUN PUBLIC SCHOOL,751.5745212,1.3332385,103.8589626
MARINE DR BLK 65,CHIJ (KATONG) PRIMARY,348.4922649,1.3064102,103.9109552
MARINE TER BLK 57,NGEE ANN PRIMARY SCHOOL,301.1027195,1.3056219,103.9180054
MARINE TER BLK 8,NGEE ANN PRIMARY SCHOOL,247.2361023,1.3056219,103.9180054
MARINE CRES BLK 45,CHIJ (KATONG) PRIMARY,297.8579986,1.3064102,103.9109552
MARINE DR BLK 60,CHIJ (KATONG) PRIMARY,429.1811224,1.3064102,103.9109552
MARINE DR BLK 63,CHIJ (KATONG) PRIMARY,486.9999168,1.3064102,103.9109552
MARINE TER BLK 18,CHIJ (KATONG) PRIMARY,497.9886902,1.3064102,103.9109552
MARINE CRES BLK 44,CHIJ (KATONG) PRIMARY,305.0926986,1.3064102,103.9109552
MARINE TER BLK 2,NGEE ANN PRIMARY SCHOOL,125.4021963,1.3056219,103.9180054
C'WEALTH CL BLK 84,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,323.935395,1.334293,103.941092
C'WEALTH CL BLK 81,CHIJ (KELLOCK),234.8567966,1.3017009,103.800518
DOVER RD BLK 1,FAIRFIELD METHODIST SCHOOL (PRIMARY),336.1511769,1.3007145,103.7857661
DOVER CRES BLK 20,FAIRFIELD METHODIST SCHOOL (PRIMARY),712.2553163,1.3007145,103.7857661
GHIM MOH RD BLK 11,HENRY PARK PRIMARY SCHOOL,992.1487546,1.3167825,103.7841363
C'WEALTH DR BLK 76,NEW TOWN PRIMARY SCHOOL,512.8024711,1.3000379,103.8000744
C'WEALTH CRES BLK 108,CHIJ (KELLOCK),546.6869927,1.3017009,103.800518
MEI LING ST BLK 153,QUEENSTOWN PRIMARY SCHOOL,629.6796918,1.2968505,103.8078866
MEI LING ST BLK 157,QUEENSTOWN PRIMARY SCHOOL,643.5962749,1.2968505,103.8078866
C'WEALTH CRES BLK 97,CHIJ (KELLOCK),509.8082126,1.3017009,103.800518
STIRLING RD BLK 167,QUEENSTOWN PRIMARY SCHOOL,957.4076679,1.2968505,103.8078866
HOLLAND CL BLK 32,CHIJ (KELLOCK),690.1547536,1.3017009,103.800518
HOLLAND CL BLK 31,CHIJ (KELLOCK),707.1194213,1.3017009,103.800518
HOLLAND DR BLK 17,HENRY PARK PRIMARY SCHOOL,1066.068823,1.3167825,103.7841363
HOLLAND DR BLK 41,CHIJ (KELLOCK),1024.417907,1.3017009,103.800518
C'WEALTH DR BLK 95,NEW TOWN PRIMARY SCHOOL,349.036685,1.3000379,103.8000744
TANGLIN HALT RD BLK 34,NEW TOWN PRIMARY SCHOOL,395.1543598,1.3000379,103.8000744
DOVER CRES BLK 26,FAIRFIELD METHODIST SCHOOL (PRIMARY),751.5971197,1.3007145,103.7857661
LOR LEW LIAN BLK 1,YANGZHENG PRIMARY SCHOOL,804.9846156,1.3488247,103.8683225
SERANGOON NTH AVE 1 BLK 106,ZHONGHUA PRIMARY SCHOOL,621.8909386,1.3596293,103.8694721
SERANGOON AVE 4 BLK 225,ZHONGHUA PRIMARY SCHOOL,314.0222518,1.3596293,103.8694721
SERANGOON AVE 4 BLK 223,ZHONGHUA PRIMARY SCHOOL,256.118082,1.3596293,103.8694721
SERANGOON AVE 4 BLK 217,ZHONGHUA PRIMARY SCHOOL,363.8021397,1.3596293,103.8694721
SERANGOON AVE 4 BLK 219,ZHONGHUA PRIMARY SCHOOL,328.7804943,1.3596293,103.8694721
SERANGOON AVE 2 BLK 303,YANGZHENG PRIMARY SCHOOL,537.1808124,1.3488247,103.8683225
SERANGOON AVE 4 BLK 226,ZHONGHUA PRIMARY SCHOOL,342.4036881,1.3596293,103.8694721
SERANGOON AVE 4 BLK 224,ZHONGHUA PRIMARY SCHOOL,302.1233044,1.3596293,103.8694721
SERANGOON NTH AVE 1 BLK 113,ROSYTH SCHOOL,653.5014191,1.3729086,103.8746431
SERANGOON NTH AVE 1 BLK 111,ROSYTH SCHOOL,626.2373554,1.3729086,103.8746431
SERANGOON AVE 4 BLK 230,ZHONGHUA PRIMARY SCHOOL,386.5808797,1.3596293,103.8694721
SERANGOON AVE 2 BLK 304,YANGZHENG PRIMARY SCHOOL,568.2693376,1.3488247,103.8683225
SERANGOON AVE 2 BLK 309,CHIJ OUR LADY OF GOOD COUNSEL,424.2566584,1.357391,103.8637708
SERANGOON AVE 2 BLK 312,CHIJ OUR LADY OF GOOD COUNSEL,507.8694677,1.357391,103.8637708
SERANGOON NTH AVE 1 BLK 125,ROSYTH SCHOOL,754.844205,1.3729086,103.8746431
SERANGOON AVE 2 BLK 318,YANGZHENG PRIMARY SCHOOL,461.08074,1.3488247,103.8683225
TAMPINES ST 11 BLK 104,TAMPINES PRIMARY SCHOOL,407.0242313,1.3499716,103.9441287
TAMPINES ST 21 BLK 207,CHONGZHENG PRIMARY SCHOOL,97.95566331,1.350835,103.951438
TAMPINES ST 81 BLK 814,ST. HILDA'S PRIMARY SCHOOL,275.6488217,1.3496891,103.9361065
TAMPINES ST 22 BLK 283,ANGSANA PRIMARY SCHOOL,149.6184134,1.3488946,103.9516338
TAMPINES ST 22 BLK 297,CHONGZHENG PRIMARY SCHOOL,373.649131,1.350835,103.951438
TAMPINES ST 23 BLK 212,CHONGZHENG PRIMARY SCHOOL,499.054218,1.350835,103.951438
TAMPINES ST 24 BLK 218,YUMIN PRIMARY SCHOOL,387.6178028,1.3513975,103.9507843
TAMPINES ST 24 BLK 221,GONGSHANG PRIMARY SCHOOL,417.4077722,1.3571755,103.9491666
TAMPINES ST 23 BLK 228,GONGSHANG PRIMARY SCHOOL,629.3112457,1.3571755,103.9491666
TAMPINES ST 42 BLK 450,GONGSHANG PRIMARY SCHOOL,280.128857,1.3571755,103.9491666
TAMPINES ST 82 BLK 848,ST. HILDA'S PRIMARY SCHOOL,309.5415338,1.3496891,103.9361065
TAMPINES ST 83 BLK 831,ST. HILDA'S PRIMARY SCHOOL,188.1154791,1.3496891,103.9361065
TAMPINES ST 11 BLK 103,TAMPINES PRIMARY SCHOOL,343.2389344,1.3499716,103.9441287
TAMPINES ST 11 BLK 109,ANGSANA PRIMARY SCHOOL,364.4017714,1.3488946,103.9516338
TAMPINES ST 22 BLK 281,ANGSANA PRIMARY SCHOOL,210.0468256,1.3488946,103.9516338
TAMPINES ST 22 BLK 273,ANGSANA PRIMARY SCHOOL,135.2303969,1.3488946,103.9516338
TAMPINES ST 21 BLK 240,GONGSHANG PRIMARY SCHOOL,332.2388331,1.3571755,103.9491666
TAMPINES ST 91 BLK 916,JUNYUAN PRIMARY SCHOOL,156.4244534,1.3478749,103.939687
TAMPINES AVE 4 BLK 902,ST. HILDA'S PRIMARY SCHOOL,376.7614023,1.3496891,103.9361065
TAMPINES AVE 4 BLK 805,EAST VIEW PRIMARY SCHOOL,241.7049527,1.3469172,103.9394788
TAMPINES ST 91 BLK 921,JUNYUAN PRIMARY SCHOOL,128.9707165,1.3478749,103.939687
TAMPINES ST 91 BLK 934,EAST VIEW PRIMARY SCHOOL,198.929254,1.3469172,103.9394788
TAMPINES ST 83 BLK 833,ST. HILDA'S PRIMARY SCHOOL,255.3343596,1.3496891,103.9361065
TAMPINES ST 21 BLK 268,YUMIN PRIMARY SCHOOL,334.2818096,1.3513975,103.9507843
TAMPINES ST 11 BLK 114,TAMPINES PRIMARY SCHOOL,535.4033903,1.3499716,103.9441287
TAMPINES ST 12 BLK 162,TAMPINES PRIMARY SCHOOL,337.6370234,1.3499716,103.9441287
TAMPINES AVE 4 BLK 903,JUNYUAN PRIMARY SCHOOL,345.930713,1.3478749,103.939687
TAMPINES AVE 4 BLK 804,EAST VIEW PRIMARY SCHOOL,259.8512106,1.3469172,103.9394788
TAMPINES ST 91 BLK 932,EAST VIEW PRIMARY SCHOOL,154.7700428,1.3469172,103.9394788
TAMPINES ST 12 BLK 151,TAMPINES PRIMARY SCHOOL,160.8598427,1.3499716,103.9441287
TAMPINES AVE 5 BLK 147,TAMPINES PRIMARY SCHOOL,236.665133,1.3499716,103.9441287
LOR 6 TOA PAYOH BLK 51,FIRST TOA PAYOH PRIMARY SCHOOL,437.156803,1.3401643,103.8555932
POTONG PASIR AVE 3 BLK 137,ST. ANDREW'S JUNIOR SCHOOL,282.8458106,1.3314591,103.8650358
POTONG PASIR AVE 1 BLK 105,ST. ANDREW'S JUNIOR SCHOOL,535.0061591,1.3314591,103.8650358
POTONG PASIR AVE 1 BLK 108,ST. ANDREW'S JUNIOR SCHOOL,504.7513332,1.3314591,103.8650358
POTONG PASIR AVE 1 BLK 115,PEI CHUN PUBLIC SCHOOL,622.1636153,1.3332385,103.8589626
POTONG PASIR AVE 1 BLK 116,PEI CHUN PUBLIC SCHOOL,567.4932751,1.3332385,103.8589626
LOR 1 TOA PAYOH BLK 109,KHENG CHENG SCHOOL,365.1235523,1.337666,103.847796
LOR 1 TOA PAYOH BLK 117,KHENG CHENG SCHOOL,389.4621965,1.337666,103.847796
LOR 3 TOA PAYOH BLK 96,KHENG CHENG SCHOOL,121.9579046,1.337666,103.847796
LOR 4 TOA PAYOH BLK 66,KHENG CHENG SCHOOL,527.8618416,1.337666,103.847796
LOR 5 TOA PAYOH BLK 38,PEI CHUN PUBLIC SCHOOL,491.0653152,1.3332385,103.8589626
LOR 1 TOA PAYOH BLK 125,KHENG CHENG SCHOOL,232.4762998,1.337666,103.847796
LOR 7 TOA PAYOH BLK 8,FIRST TOA PAYOH PRIMARY SCHOOL,278.7644894,1.3401643,103.8555932
TOA PAYOH CTRL BLK 79,KHENG CHENG SCHOOL,343.1882573,1.337666,103.847796
LOR 1 TOA PAYOH BLK 157,CHIJ PRIMARY (TOA PAYOH),318.7613262,1.3328178,103.8426717
LOR 4 TOA PAYOH BLK 85C,KHENG CHENG SCHOOL,150.7581173,1.337666,103.847796
LOR 1 TOA PAYOH BLK 174,CHIJ PRIMARY (TOA PAYOH),253.0510825,1.3328178,103.8426717
KIM KEAT AVE BLK 195,PEI CHUN PUBLIC SCHOOL,302.1811883,1.3332385,103.8589626
LOR 8 TOA PAYOH BLK 222,FIRST TOA PAYOH PRIMARY SCHOOL,184.802372,1.3401643,103.8555932
LOR 8 TOA PAYOH BLK 219,FIRST TOA PAYOH PRIMARY SCHOOL,291.7676992,1.3401643,103.8555932
POTONG PASIR AVE 1 BLK 114,PEI CHUN PUBLIC SCHOOL,613.6071402,1.3332385,103.8589626
LOR 2 TOA PAYOH BLK 175,KHENG CHENG SCHOOL,483.6760201,1.337666,103.847796
LOR 8 TOA PAYOH BLK 223,FIRST TOA PAYOH PRIMARY SCHOOL,126.9095508,1.3401643,103.8555932
LOR 8 TOA PAYOH BLK 230,FIRST TOA PAYOH PRIMARY SCHOOL,467.041723,1.3401643,103.8555932
JOO SENG RD BLK 11,CEDAR PRIMARY SCHOOL,580.57087,1.3356131,103.8754605
